quote,speaker,episode,Tags
Kinda feel bad for the guy.,Tony Soprano,S6 E1,Comedy
Let me tell you a couple of three things.,Phil Leotardo,S6 E14,"Comedy, one liner"
Let the Pope live with him.,Angie Bompensiero,S2 E4,Religion
Look at this guy. Members Only? How long you been wearin’ that?,Vito Spatafore,S6 E1,"Confusion, Comedy"
"Marty! Kundun, I liked it!",Christopher Moltisanti,S2 E13,"Pop Culture, History"
Mothafucka.,Artie Bucco,S6 E7,Comedy
"Mother of Christ, is this a woman thing? You ask me how I feel, I tell you how I feel, and now you’re gonna torture me with it.",Tony Soprano,S2 E6,Family
"My advice, we go get our joints copped, and tomorra, the words’ll come blowin’ out your ass.",Paulie Gualtieri,S1 E8,"Insult, Crude Humor"
My uterus got pierced. Both of them?,Adriana La Cerva,S4 E7,Sex
Oh. Finally. Startin' to grow mushrooms out my ass.,Vito Spatafore,S6 E1,"Insult, Crude Humor, Nature, Animals"
"Oh, I didn’t mean to verge.",Tony Soprano,S1 E5,Comedy
"Oh, poor baby. What do you want, a Whitman’s Sampler?",Tony Soprano,,Negativity
OHHH I HAD NO IDEA I WAS SO TENSE!,Paulie Gualtieri,S5 E2,Comedy
"Other people’s definitions of you, sometimes they’re more about making themselves feel better. You gotta define yourself.",Christopher Moltisanti,S5 E6,"Optimism, Self-Help"
People only see what you allow them to see.,Dr. Jennifer Melfi,S6 E5,Comedy
Phil treats nickels like manhole covers.,Johnny Sack,S5 E11,Money
Pours you a drink with one hand. Judges you with the other if you take it.,Christopher Moltisanti,,"Trust, Negativity"
Probably upstairs.,Tony Soprano,S6 E1,Comedy
Puss… I loved that cocksucker like a brother. And he fucked me in the ass.,Paulie Gualtieri,S3 E10,"Insult, Crude Humor, Love"
"Rage, Anthony, is a big loud flaming distraction, from feelings that are even more frightening.",Dr. Jennifer Melfi,S2 E13,"Depression, Mental Health"
Remember when is the lowest form of conversation.,Tony Soprano,S6 E15,"Conversation, Negativity"
"So if you love me, stir my eggs.",Christopher Moltisanti,S4 E5,"Food, Love"
"Some day soon, you’re gonna have families of your own. And if you’re lucky, you’ll remember the little moments — like this — that were good.",Tony Soprano,S1 E13,Comedy
Some people take pleasure in the simple doing of things.,Dr. Jennifer Melfi,,"Optimism, Self-Help"
Sometimes it’s important to give people the illusion of being in control.,Tony Soprano,S5 E12,"Power, Respect, Trust, Negativity"
Sometimes we’re all hypocrites.,Meadow Soprano,,"Trust, Negativity"
Sometimes what happens here is like taking a shit.,Tony Soprano,S5 E9,"Insult, Crude Humor"
Sucks to be you. There’s more where that came from!,AJ Soprano,S1 E7,Comedy
"Sun Tzu, you fucking ass-kiss!",Silvio Dante,S3 E8,"Pop Culture, History, Insult, Crude Humor"
"Swingers! He can suck my dick! It swings, too!",Christopher Moltisanti,S2 E7,"Insult, Crude Humor, Sex"
Teddy Roosevelt once gave an entire speech with a bullet lodged in his chest. Some things are just a matter of duty.,Uncle Junior,S3 E7,"Power, Respect, Pop Culture, History, Duty"
Ten years you thought about Janice? There are men in the can better-looking than my sister.,Tony Soprano,S2 E5,Family
The belt was his favorite child development tool.,Tony Soprano,,Family
The center cannot hold. The falcon cannot hear the falconer. What the fuck are you talking about?,Dr. Jennifer Melfi,S5 E10,"Insult, Crude Humor, Nature, Animals"
The fuck I did. I grabbed a pillow but it was — just to keep my hands occupied.,Tony Soprano,S6 E1,"Insult, Crude Humor, Health"
The only thing I ever found in the street was my first wife.,Eugene Pontecorvo,,"Family, Place"
"The phone keeps ringing, and then they hang up.",Uncle Junior,S6 E1,Technology
The sacred and the propane.,Carmine Lupertazzi,S6 E14,"Religion, Comedy"
The Soprano family has always been a little pushy. Family? They're a glorified crew!,Carmine Lupertazzi,S4 E12,"Family, Power, Respect"
There are no scraps in my scrapbook.,Phil Leotardo,S6 E14,"Business, Status"
There's an image.,Phil Leotardo,S6 E1,"Business, Status"
